PID,informed_consent
635,TRUE
302,TRUE
676,TRUE
629,TRUE
537,TRUE
680,TRUE
725,TRUE
559,TRUE
746,TRUE
754,TRUE
557,TRUE
536,TRUE
740,TRUE
543,TRUE
546,TRUE
555,TRUE
778,TRUE
671,TRUE
748,TRUE
747,TRUE
445,TRUE
764,TRUE
720,TRUE
539,TRUE
765,TRUE
775,TRUE
804,TRUE
709,TRUE
567,TRUE
391,TRUE
624,TRUE
753,TRUE
766,TRUE
761,TRUE
538,TRUE
794,TRUE
572,TRUE
759,TRUE
706,TRUE
290,TRUE
704,TRUE
686,TRUE
797,TRUE
569,TRUE
762,TRUE
652,TRUE
737,TRUE
805,TRUE
792,TRUE
697,TRUE
791,TRUE
733,TRUE
732,TRUE
540,TRUE
736,TRUE
200,TRUE
570,TRUE
581,TRUE
771,TRUE
734,TRUE
358,TRUE
556,TRUE
668,TRUE
645,TRUE
580,TRUE
741,TRUE
788,TRUE
800,TRUE
647,TRUE
694,TRUE
634,TRUE
667,TRUE
360,TRUE
724,TRUE
755,TRUE
642,TRUE
710,TRUE
793,TRUE
786,TRUE
799,TRUE
552,TRUE
742,TRUE
779,TRUE
558,TRUE
806,TRUE
670,TRUE
414,TRUE
548,TRUE
551,TRUE
711,TRUE
565,TRUE
744,TRUE
774,TRUE
731,TRUE
326,TRUE
560,TRUE
790,TRUE
685,TRUE
702,TRUE
316,TRUE
767,TRUE
760,TRUE
395,TRUE
392,TRUE
541,TRUE
784,TRUE
780,TRUE
690,TRUE
757,TRUE
561,TRUE
750,TRUE
674,TRUE
705,TRUE
756,TRUE
696,TRUE
700,TRUE
679,TRUE
688,TRUE
813,TRUE
743,TRUE
577,TRUE
554,TRUE
575,TRUE
810,TRUE
758,TRUE
770,TRUE
807,TRUE
803,TRUE
798,TRUE
811,TRUE
809,TRUE
787,TRUE
717,TRUE
351,TRUE
631,TRUE
615,TRUE
388,TRUE
549,TRUE
531,TRUE
718,TRUE
691,TRUE
769,TRUE
822,TRUE
781,TRUE
308,TRUE
817,TRUE
812,TRUE
366,TRUE
325,TRUE
816,TRUE
648,TRUE
749,TRUE
675,TRUE
656,TRUE
627,TRUE
834,TRUE
832,TRUE
820,TRUE
825,TRUE
735,TRUE
829,TRUE
643,TRUE
821,TRUE
789,TRUE
716,TRUE
835,TRUE
785,TRUE
826,TRUE
839,TRUE
772,TRUE
298,TRUE
831,TRUE
651,TRUE
837,TRUE
841,TRUE
828,TRUE
808,TRUE
321,TRUE
830,TRUE
574,TRUE
768,TRUE
773,TRUE
848,TRUE
703,TRUE
843,TRUE
827,TRUE
727,TRUE
833,TRUE
763,TRUE
578,TRUE
576,TRUE
777,TRUE
357,TRUE
307,TRUE
844,TRUE
726,TRUE
713,TRUE
850,TRUE
853,TRUE
406,TRUE
738,TRUE
714,TRUE
851,TRUE
622,TRUE
299,TRUE
582,TRUE
796,TRUE
849,TRUE
783,TRUE
842,TRUE
818,TRUE
864,TRUE
865,TRUE
404,TRUE
857,TRUE
858,TRUE
856,TRUE
859,TRUE
678,TRUE
867,TRUE
870,TRUE
866,TRUE
873,TRUE
874,TRUE
868,TRUE
852,TRUE
876,TRUE
547,TRUE
846,TRUE
840,TRUE
862,TRUE
861,TRUE
855,TRUE
880,TRUE
883,TRUE
884,TRUE
891,TRUE
819,TRUE
893,TRUE
878,TRUE
823,TRUE
886,TRUE
845,TRUE
860,TRUE
885,TRUE
564,TRUE
888,TRUE
283,TRUE
882,TRUE
389,TRUE
619,TRUE
752,TRUE
898,TRUE
900,TRUE
871,TRUE
838,TRUE
776,TRUE
801,TRUE
889,TRUE
881,TRUE
892,TRUE
689,TRUE
795,TRUE
815,TRUE
824,TRUE
887,TRUE
896,TRUE
901,TRUE
715,TRUE
847,TRUE
553,TRUE
894,TRUE
904,TRUE
897,TRUE
890,TRUE
906,TRUE
905,TRUE
879,TRUE
902,TRUE
910,TRUE
911,TRUE
903,TRUE
907,TRUE
899,TRUE
909,TRUE
695,TRUE
913,TRUE
912,TRUE
908,TRUE
915,TRUE
914,TRUE
875,TRUE
916,TRUE
917,TRUE
895,TRUE
921,TRUE
928,TRUE
654,TRUE
545,TRUE
729,TRUE
313,TRUE
563,TRUE
573,TRUE
379,TRUE
939,TRUE
562,TRUE
692,TRUE
922,TRUE
672,TRUE
397,TRUE
568,TRUE
346,TRUE
617,TRUE
971,TRUE
923,TRUE
304,TRUE
982,TRUE
919,TRUE
981,TRUE
699,TRUE
419,TRUE
722,TRUE
987,TRUE
356,TRUE
983,TRUE
708,TRUE
383,TRUE
988,TRUE
989,TRUE
990,TRUE
991,TRUE
401,TRUE
986,TRUE
1034,TRUE
1022,TRUE
948,TRUE
438,TRUE
571,TRUE
1064,TRUE
952,TRUE
542,TRUE
628,TRUE
956,TRUE
393,TRUE
965,TRUE
1002,TRUE
1045,TRUE
378,TRUE
1000,TRUE
1001,TRUE
441,TRUE
371,TRUE
1051,TRUE
992,TRUE
1006,TRUE
