SERIAL,REF,QUESTNNR,MODE,STARTED,BG02,EW01_01,EW01_02,EW01_03,EW01_04,EW01_05,EW01_06,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,PID
NA,7,base,interview,2023-02-22T13:48:36Z,NA,51,31,42,53,43,51,2,NA,NA,NA,36,8,46,NA,2023-02-22T13:49:22Z,TRUE,FALSE,6,6,7
NA,228,base,interview,2023-02-22T13:51:37Z,NA,76,66,73,49,70,42,2,NA,NA,NA,6,5,13,NA,2023-02-22T13:51:50Z,TRUE,FALSE,6,6,228
NA,7,base,interview,2023-02-22T13:54:56Z,NA,83,49,63,60,48,71,3,NA,NA,NA,10,12,25,NA,2023-02-22T13:55:21Z,TRUE,FALSE,6,6,7
NA,1034,base,interview,2023-02-22T14:01:38Z,"Ich bin damit einverstanden, dass meine anonymisierten Daten und Nutzungsdaten aus Moodle unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",5,2,3,2,2,1,4,NA,NA,11,57,187,259,NA,2023-02-22T14:05:57Z,TRUE,FALSE,6,6,1034
NA,792,base,interview,2023-02-22T14:02:02Z,NA,49,45,50,51,43,54,4,NA,NA,NA,18,387,47,NA,2023-02-22T14:08:51Z,TRUE,FALSE,6,6,792
NA,801,base,interview,2023-02-22T14:03:05Z,NA,51,51,62,63,49,70,8,NA,NA,NA,46,13,67,NA,2023-02-22T14:04:12Z,TRUE,FALSE,6,6,801
NA,699,base,interview,2023-02-22T14:05:02Z,NA,21,20,14,6,7,8,13,NA,NA,NA,50,NA,63,NA,2023-02-22T14:06:05Z,FALSE,FALSE,5,5,699
NA,733,base,interview,2023-02-22T14:06:56Z,NA,6,4,5,5,9,10,2,NA,NA,NA,35,525,62,NA,2023-02-22T14:16:18Z,TRUE,FALSE,6,6,733
NA,656,base,interview,2023-02-22T14:07:17Z,NA,-9,1,-9,-9,-9,-9,13,NA,NA,NA,23,91,127,NA,2023-02-22T14:09:24Z,TRUE,FALSE,6,6,656
NA,541,base,interview,2023-02-22T14:07:30Z,NA,41,41,41,51,43,47,8,NA,NA,NA,64,6,78,NA,2023-02-22T14:08:48Z,TRUE,FALSE,6,6,541
NA,537,base,interview,2023-02-22T14:07:42Z,NA,-9,61,45,61,61,20,1,NA,NA,NA,41,624,67,NA,2023-02-22T14:18:48Z,TRUE,FALSE,6,6,537
NA,550,base,interview,2023-02-22T14:07:50Z,Ich möchte meine Daten nicht für wissenschaftliche Zwecke zur Verfügung stellen.,49,-9,-9,15,-9,-9,4,NA,NA,8,37,89,138,NA,2023-02-22T14:10:08Z,TRUE,FALSE,6,6,550
NA,706,base,interview,2023-02-22T14:07:52Z,NA,51,57,71,54,70,76,2,NA,NA,NA,97,49,148,NA,2023-02-22T14:10:20Z,TRUE,FALSE,6,6,706
NA,553,base,interview,2023-02-22T14:07:53Z,NA,-9,-9,-9,-9,1,-9,10,NA,NA,NA,46,95,151,NA,2023-02-22T14:10:24Z,TRUE,FALSE,6,6,553
NA,668,base,interview,2023-02-22T14:07:53Z,NA,52,58,45,42,30,30,12,NA,NA,NA,71,NA,83,NA,2023-02-22T14:09:16Z,FALSE,FALSE,5,5,668
NA,907,base,interview,2023-02-22T14:08:22Z,NA,57,71,36,71,65,38,3,NA,NA,NA,53,134,190,NA,2023-02-22T14:11:32Z,TRUE,FALSE,6,6,907
NA,843,base,interview,2023-02-22T14:08:47Z,"Ich bin damit einverstanden, dass meine anonymisierten Daten und Nutzungsdaten aus Moodle unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",19,10,50,67,61,61,12,NA,NA,35,71,1595,114,NA,2023-02-22T14:37:20Z,TRUE,FALSE,6,6,843
NA,708,base,interview,2023-02-22T14:09:25Z,NA,33,17,17,15,20,21,2,NA,NA,NA,14,199,215,NA,2023-02-22T14:13:00Z,TRUE,FALSE,6,6,708
NA,656,base,interview,2023-02-22T14:09:48Z,NA,-9,-9,-9,-9,-9,-9,1,NA,NA,NA,7,NA,8,NA,2023-02-22T14:09:56Z,FALSE,FALSE,5,5,656
NA,629,base,interview,2023-02-22T14:09:57Z,NA,75,79,78,11,21,1,3,NA,NA,NA,51,10,64,NA,2023-02-22T14:11:01Z,TRUE,FALSE,6,6,629
