SERIAL,REF,QUESTNNR,MODE,STARTED,AK01_01,AK01_02,AK01_03,AK01_04,AK01_05,AK01_06,AK01_07,AK01_08,AK01_09,AK02_01,AK03,AK04,AK04_07,AK04_01,AK04_02,AK04_03,AK04_04,AK04_05,AK04_06,AK05_01,AS01,AS02_01,AS03_16,AS03_16a,AS05,AS05_17,BF_Gew1,BF_Ext1,BF_Ver1,BF_Off1,BF_Neu1,BF_Ext2,BF_Ver2,BF_Gew2,BF_Ext3,BF_Off2,BF_Neu2,BF_Gew3,BF_Ver3,BF_Off3,BF_Neu3,BF03,BF04,BF05,BG02,EE01_01,EE01_02,EE01_03,EE02_01,EE02_02,EW01_01,EW01_02,EW01_03,EW01_04,EW01_05,EW01_06,EW01_07,EW01_08,EW01_09,EW01_10,HV01_01,HV01_02,HV01_03,HV01_04,HV02_01,LM01_01,LM01_02,LM01_03,LM01_04,LM01_05,LM01_07,LM01_08,LM02,LM02x01,LM02x02,LM02x03,LM02x04,LM02x05,LM02x06,LM02x07,LM02x08,LM02x09,LM02x10,NC01_01,NC01_02,NC01_03,NC01_04,PC01_01,PC01_02,PC01_03,PC01_04,PC01_05,PC01_06,PC01_07,PC01_08,PC01_09,SD01,SD02_01,SD04_01,SELLMO_01,SELLMO_02,SELLMO_03,SELLMO_04,SELLMO_05,SELLMO_06,SELLMO_07,SELLMO_08,SELLMO_09,SELLMO_10,SELLMO_11,SELLMO_12,SELLMO_13,SELLMO_14,SELLMO_15,SELLMO_16,SELLMO_17,SELLMO_18,SELLMO_19,SELLMO_20,SELLMO_21,SELLMO_22,SELLMO_23,SELLMO_24,SELLMO_25,SELLMO_26,SELLMO_27,SELLMO_28,SELLMO_29,SELLMO_30,SELLMO_31,ST01,ST01_11,ST02_01,ST03,ST04,ST05,ST05_01,ST05_02,ST05_03,ST05_04,ST05_04a,ST05_05,ST05_05a,ST07_01,UA02_01,UA02_02,UA02_03,UA02_04,UA02_05,UA02_06,UA02_07,WL01_01,WL03_01,ZG01_CP,ZG01,ZG03_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,PID,n_NA,min_n_NA_perPerson,rows_to_keep,informed_consent
NA,200,Fragebogen6,interview,2022-10-19T15:20:24Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.7,5,FALSE,NA,NA,4,6,5,5,7,6,6,2,7,4,3,5,7,6,6,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,2,3,2,1,Erneutes wiederholen des Lernstoffes als Vorbereitung,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,5,3,4,4,4,3,4,3,3,3,3,weiblich,21,NA,5,4,4,3,4,2,1,4,3,1,3,4,1,3,2,4,2,1,4,3,3,1,2,4,4,1,4,3,1,1,4,Bachelor Sekundarstufe,NA,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,2,TRUE,FALSE,FALSE,TRUE,18,FALSE,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,359,XA4FUWM9YZNSTAR4,6,NA,6,110,52,72,69,69,60,5,67,50,9,575,NA,2022-10-19T15:29:59Z,TRUE,FALSE,13,13,200,69,69,TRUE,TRUE
NA,283,Fragebogen6,interview,2022-10-23T08:13:15Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.7,4,FALSE,NA,NA,7,7,6,5,3,4,1,4,4,2,2,6,6,4,3,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,3,3,3,1,Feynman-Methode,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,4,1,2,2,3,2,3,2,4,2,3,männlich,23,NA,4,2,1,3,4,1,3,4,2,1,3,4,1,1,3,5,1,1,3,4,4,1,1,4,3,1,3,4,1,3,3,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,-1,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,129,CDANWZSFVCVNZ996,7,NA,8,131,149,124,62,136,78,13,142,75,16,941,NA,2022-10-23T08:28:56Z,TRUE,FALSE,13,13,283,70,70,TRUE,TRUE
NA,290,Fragebogen6,interview,2022-10-19T15:20:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.0,NA,TRUE,NA,NA,6,5,7,5,7,2,7,6,4,6,7,3,7,6,4,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,3,2,3,3,2,3,3,3,2,weiblich,23,NA,4,4,3,3,5,3,2,5,3,3,3,5,3,3,2,5,3,3,4,4,4,3,2,5,3,3,4,5,2,3,3,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,1,TRUE,FALSE,FALSE,FALSE,NA,FALSE,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,106,A6V4GRQSFDNXCCF4,3,NA,7,55,104,61,63,106,67,11,486,33,17,1013,NA,2022-10-19T15:37:14Z,TRUE,FALSE,13,13,290,72,72,TRUE,TRUE
NA,298,Fragebogen6,interview,2022-10-19T15:22:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.3,9,FALSE,NA,NA,5,7,4,5,6,6,4,5,6,2,3,4,5,5,3,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,6,3,3,2,3,2,2,3,3,3,männlich,20,NA,3,4,4,2,5,2,3,3,4,3,2,4,5,4,4,5,4,2,4,3,4,4,2,1,4,3,4,2,3,2,4,Bachelor Sekundarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,2,TRUE,FALSE,FALSE,TRUE,8,FALSE,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,286,S8GKMD5WKDSPUAA2,2,NA,6,42,63,94,42,139,50,7,76,37,26,584,NA,2022-10-19T15:31:44Z,TRUE,FALSE,13,13,298,70,70,TRUE,TRUE
NA,299,Fragebogen6,interview,2022-10-19T15:23:15Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,1.7,11,FALSE,NA,NA,6,4,6,4,5,4,5,5,3,6,4,5,6,5,4,NA,NA,NA,Nein. Ich möchte meine Antworten nicht für wissenschaftliche Zwecke zur Verfügung stellen.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,2,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,2,2,2,2,2,2,2,3,2,3,weiblich,20,NA,3,3,1,3,4,1,1,4,1,1,1,4,1,1,1,5,1,1,1,4,4,1,1,4,4,1,1,4,1,1,1,Bachelor Sekundarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,1,TRUE,FALSE,FALSE,FALSE,NA,FALSE,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,222,MGLTEK2WKE9ZEP1N,16,NA,5,45,75,63,35,103,64,10,108,62,9,595,NA,2022-10-19T15:33:10Z,TRUE,FALSE,13,13,299,71,71,TRUE,TRUE
NA,302,Fragebogen6,interview,2022-10-19T11:41:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.7,8,FALSE,NA,NA,4,5,6,4,5,6,6,4,6,5,5,5,7,5,4,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,3,2,2,2,3,2,3,2,2,weiblich,20,NA,4,2,2,3,4,2,2,4,3,2,2,4,2,2,2,4,2,2,2,5,4,2,2,4,4,2,3,4,2,2,3,Bachelor Primarstufe,NA,5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,1,TRUE,FALSE,FALSE,FALSE,NA,FALSE,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,283,S3UMBWAC2FLAGE2Y,2,NA,6,48,40,45,44,20,22,5,44,29,139,322,NA,2022-10-19T11:49:15Z,TRUE,FALSE,13,13,302,72,72,TRUE,TRUE
NA,304,Fragebogen6,interview,2022-10-25T14:27:57Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.4,6,FALSE,NA,NA,6,5,7,5,6,5,7,5,6,6,5,5,6,5,4,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,4,2,3,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,3,2,2,2,3,1,2,2,2,weiblich,21,NA,4,1,2,2,5,3,2,4,1,1,2,4,1,1,2,4,1,1,3,4,4,3,2,4,4,2,2,5,1,2,2,Bachelor Sekundarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,2,TRUE,FALSE,FALSE,TRUE,14,FALSE,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,36,4BKNTLVNGAR5UR19,11,NA,8,692,81,206,37,187,134,9,53,24,16,817,NA,2022-10-25T14:52:15Z,TRUE,FALSE,13,13,304,70,70,TRUE,TRUE
NA,307,Fragebogen6,interview,2022-10-19T15:22:49Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.8,2,FALSE,NA,NA,5,5,6,4,5,4,6,2,6,6,3,4,7,6,2,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,5,4,4,4,4,3,3,4,4,3,männlich,23,NA,4,4,4,4,4,2,2,4,2,2,2,5,1,1,2,4,4,2,3,4,4,4,3,4,4,2,4,4,4,4,4,Bachelor Sekundarstufe,NA,7,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,1,TRUE,FALSE,FALSE,FALSE,NA,FALSE,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,258,Q8SXWBS4ATTGQSTX,8,NA,8,23,32,44,25,63,43,7,37,19,13,322,NA,2022-10-19T15:28:11Z,TRUE,FALSE,13,13,307,71,71,TRUE,TRUE
NA,308,Fragebogen6,interview,2022-10-19T15:21:16Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.5,7,FALSE,NA,NA,6,5,6,3,7,4,7,6,5,7,7,5,6,4,5,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,3,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,4,4,4,4,4,4,3,3,4,2,weiblich,23,NA,4,5,5,3,5,5,2,4,4,4,4,4,5,5,2,5,5,5,3,5,5,5,1,5,5,5,2,4,5,5,2,Bachelor Primarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,1,TRUE,FALSE,FALSE,FALSE,NA,FALSE,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,268,QVHZ5NYYBGAFRTW4,5,NA,5,83,47,72,37,82,43,7,75,25,10,491,NA,2022-10-19T15:29:27Z,TRUE,FALSE,13,13,308,71,71,TRUE,TRUE
NA,313,Fragebogen6,interview,2022-10-20T09:15:33Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allgemeine Hochschulreife,2.1,10,FALSE,NA,NA,5,4,6,6,6,4,5,2,4,5,5,5,7,6,1,NA,NA,NA,"Ja. Ich bin damit einverstanden, dass meine anonymisierten Antworten und Moodle-Nutzungsdaten unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,4,4,4,3,3,3,3,3,3,weiblich,22,NA,4,3,3,3,4,3,2,4,3,2,2,4,4,3,2,5,3,3,2,4,4,4,2,4,5,3,4,5,2,2,3,Bachelor Sekundarstufe,NA,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,2,TRUE,FALSE,FALSE,TRUE,10,FALSE,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,365,XHP5A98QVFKNWMTW,2,NA,17,31,43,53,42,55,50,6,54,24,22,399,NA,2022-10-20T09:22:12Z,TRUE,FALSE,13,13,313,70,70,TRUE,TRUE
