PID,Groups
688,Gruppe B
901,Gruppe B
885,Gruppe B
674,Gruppe A
546,Gruppe A
911,Gruppe A
906,Gruppe B
778,Gruppe B
357,Gruppe A
298,Gruppe B
1006,Gruppe B
857,Gruppe A
736,Gruppe B
865,Gruppe A
765,Gruppe B
714,Gruppe B
741,Gruppe A
773,Gruppe A
539,Gruppe A
1002,Gruppe B
302,Gruppe B
691,Gruppe B
806,Gruppe B
346,Gruppe A
1001,Gruppe A
952,Gruppe A
631,Gruppe B
815,Gruppe A
750,Gruppe A
907,Gruppe B
1051,NA
395,Gruppe B
622,Gruppe B
554,Gruppe A
798,Gruppe A
383,Gruppe A
825,Gruppe A
561,Gruppe A
706,Gruppe B
700,Gruppe B
801,Gruppe A
1000,Gruppe A
846,Gruppe B
902,Gruppe B
917,Gruppe B
553,Gruppe B
748,Gruppe A
813,Gruppe B
401,Gruppe A
742,Gruppe A
360,Gruppe A
695,Gruppe A
542,Gruppe B
629,Gruppe B
916,Gruppe A
888,Gruppe B
393,Gruppe A
777,Gruppe B
551,Gruppe B
737,Gruppe B
771,Gruppe A
822,Gruppe B
848,Gruppe B
838,Gruppe B
808,Gruppe A
671,Gruppe A
894,Gruppe B
790,Gruppe A
784,Gruppe A
833,Gruppe B
358,Gruppe A
692,Gruppe A
540,Gruppe B
992,Gruppe B
727,Gruppe A
837,Gruppe A
668,Gruppe A
705,Gruppe B
779,Gruppe A
862,Gruppe B
841,Gruppe B
839,Gruppe A
703,Gruppe A
891,Gruppe A
761,Gruppe B
675,Gruppe B
548,Gruppe B
752,Gruppe A
774,Gruppe A
438,Gruppe A
756,Gruppe B
956,Gruppe A
694,Gruppe B
699,Gruppe B
870,Gruppe A
749,Gruppe A
1045,NA
762,Gruppe B
696,Gruppe B
567,Gruppe B
651,Gruppe B
1034,Gruppe B
824,Gruppe B
642,Gruppe A
889,Gruppe A
371,NA
781,Gruppe A
656,Gruppe B
619,Gruppe A
582,Gruppe A
615,Gruppe A
823,Gruppe B
818,Gruppe B
565,Gruppe B
738,Gruppe A
898,Gruppe B
819,Gruppe B
304,Gruppe A
829,Gruppe A
560,Gruppe B
568,Gruppe B
445,Gruppe B
680,Gruppe A
558,Gruppe A
575,Gruppe B
556,Gruppe A
538,Gruppe A
690,Gruppe A
378,Gruppe B
307,Gruppe B
643,Gruppe A
299,Gruppe A
760,Gruppe A
308,Gruppe A
880,Gruppe B
794,Gruppe A
797,Gruppe A
541,Gruppe B
796,Gruppe B
685,Gruppe B
834,Gruppe A
645,Gruppe B
763,Gruppe A
921,Gruppe A
896,Gruppe A
989,Gruppe B
388,Gruppe B
581,Gruppe A
1064,NA
811,Gruppe B
676,Gruppe B
948,Gruppe A
856,Gruppe B
1022,Gruppe B
576,Gruppe A
820,Gruppe A
654,Gruppe B
810,Gruppe B
852,Gruppe B
379,Gruppe B
404,Gruppe A
812,Gruppe A
768,Gruppe B
559,Gruppe A
713,Gruppe A
704,Gruppe B
788,Gruppe A
766,Gruppe B
627,Gruppe A
803,Gruppe B
858,Gruppe A
776,Gruppe B
549,Gruppe A
859,Gruppe B
881,Gruppe A
826,Gruppe B
875,Gruppe A
909,Gruppe B
821,Gruppe A
873,Gruppe A
326,Gruppe A
572,Gruppe A
725,Gruppe B
939,Gruppe B
628,Gruppe B
817,Gruppe A
574,Gruppe A
557,Gruppe B
804,Gruppe A
731,Gruppe B
897,Gruppe B
758,Gruppe A
864,Gruppe A
991,Gruppe B
899,Gruppe A
711,Gruppe A
634,Gruppe B
849,Gruppe B
971,Gruppe A
828,Gruppe B
672,Gruppe B
867,Gruppe B
555,Gruppe B
569,Gruppe A
729,Gruppe A
722,Gruppe B
740,Gruppe B
915,Gruppe A
816,Gruppe A
406,Gruppe B
715,Gruppe A
879,Gruppe B
733,Gruppe B
667,Gruppe A
835,Gruppe B
785,Gruppe B
562,Gruppe B
800,Gruppe B
679,Gruppe B
757,Gruppe A
392,Gruppe A
635,Gruppe A
769,Gruppe A
843,Gruppe A
670,Gruppe B
543,Gruppe A
840,Gruppe B
351,Gruppe A
860,Gruppe A
988,Gruppe B
923,Gruppe B
892,Gruppe A
775,Gruppe B
571,Gruppe B
624,Gruppe A
767,Gruppe B
708,Gruppe A
982,Gruppe A
780,Gruppe B
325,Gruppe A
414,Gruppe B
578,Gruppe B
647,Gruppe B
772,Gruppe A
844,Gruppe B
890,Gruppe A
552,Gruppe A
720,Gruppe A
799,Gruppe A
697,Gruppe B
441,Gruppe A
887,Gruppe B
200,Gruppe A
753,Gruppe A
563,Gruppe A
755,Gruppe B
366,Gruppe B
871,Gruppe B
747,Gruppe A
547,Gruppe A
851,Gruppe B
316,Gruppe A
805,Gruppe A
710,Gruppe A
809,Gruppe A
545,Gruppe B
919,Gruppe A
321,Gruppe A
734,Gruppe B
537,Gruppe A
290,Gruppe B
536,Gruppe B
965,Gruppe B
922,Gruppe A
792,Gruppe B
868,Gruppe A
876,Gruppe A
861,Gruppe B
789,Gruppe A
990,Gruppe A
882,Gruppe B
